Summary ,Action,Data,Expected Result
Endurance_eARC_Audio resume from eARC output after pause ,"Put Live playback in pause for 60 min
Resume Playback
Open a streaming app (YT/Netflix/Prime,..) and play a video
Put Live playback in pause for 60 min
Resume Playback",,"Live is paused

No audio is heard from DUT speakers
Live is played back

Audio is heard from DUT speakers without problem (no cuts, no glitch, A/V synchro)
Playback on app is in progress

Audio output is the DUT
Live is paused

No audio is heard from DUT speakers
Playback is resumed

Audio is heard from DUT speakers without problem (no cuts, no glitch, A/V synchro)"
[ExoPlayer]Super speed_Playready ,"Launch Exoplayer application.  


Go to ""Smooth Streaming"" tab and play ""Super speed (Playready)"" playback.
During playing stream do a pause/play.


During playing stream, do a trick mode by rewind or forward buttons.

",,"Exoplayer aplication is well launched.


Stream should played.


Pause/play works fine.


Trick mode should works fine."
[Exoplayer] Install Exoplayer APK,"Install Exoplayer APK

One of these Two options should be used, choose the one available/ applicable  on/to  the DUT:

*1) Installation from File Explorer*

Open File explorer application and install Exoplayer apk application from USB key

Or

*2) Installation from adb*

From command line and fill $ adb install *ExoPlayer-demo-2.9.6-05072019.apk*
Reboot DUT",[^ExoPlayer-demo-2.9.6-05072019.apk],"*1) From File Explorer:*

File explorer is already installed, Exoplayer apk application should be well installed and it should work fine.

*2) From adb*

No error on adb command line, Exoplayer apk is correctly installed
Exoplayer apk should remain installed and should not be removed"
[ExoPlayer] Uninstall Exoplayer APK,"From Dut go to Settings / Apps and Unistall :

- *File Explorer* 
and
-  *Exoplayer*",,Both applications should be uninstalled from Dut and no longer available on the app list
[ExoPlayer] HDCP Capabilities tests_WV: HDCP:None (Not required) playback,"Launch Exoplayer application from Dut Android(seetings/apps)
- Go to ""Widevine HDCP Capabalities Tests"" tab 

- Choose ""WV: HDCP: None (Not
required)"" palyback

- Play it
During playing stream do a pause/play using DUT RCU
During playing stream, do a trick mode by rewind or forward buttons using DUT RCU",,"Exoplayer aplication is well launched.
""WV: HDCP: None (Not required)"" playback is welle selected

Stream is played on the Astro HDCP 1.4 witout any woes
Pause/play works fine.


Trick mode should works fine.

"
[ExoPlayer] HDCP Capabilities tests_WV: HDCP: 1.0 required,"GO to Settings/Apps

Launch Exoplayer application from Dut Android
- Go to ""Widevine HDCP Capabalities Tests"" tab 

- Play ""WV: HDCP: 1.0 required"" Stream.
During playing stream do a pause/play using DUT RCU
During playing stream, do a trick mode by rewind or forward buttons using DUT RCU .",,"Exoplayer aplication is well launched.


""WV: HDCP: 1.0 required"" playback should well played on Both HDMI port HDCP
1.4 and HDCP 2.2


Pause/play works fine.


Trick mode should works fine.

"
[ExoPlayer]HDCP Capabilities tests_WV: 2.0 required,"Go to settings/Apps

Launch Exoplayer application from Dut Android.
- Go to ""Widevine HDCP Capabalities Tests"" tab 

- Play ""WV: HDCP: 2.0 required"" playback.
During playing stream and from settings Astro device deactivate HDCP 1.4

",,"Exoplayer aplication is well launched.


""WV: HDCP: 2.0 required"" playback should well played on Astro HDCP 1.4
A black screen should be observed

"
[ExoPlayer] HDCP Capabilities tests_WV: HDCP: 2.0 required,"Launch Exoplayer application from Dut Android.
Go to ""Widevine HDCP Capabalities Tests"" tab and play ""WV: HDCP: 2.0 required""
playback with HDMI port settings set to HDCP 1.4


Launch again the same stream but with HDMI port settings set to HDCP 2.2

",,"Exoplayer aplication is well launched.  



Stream should played during 10 Sec than a black screen should be observed.


Playback should well played."
[ExoPlayer] HDCP Capabilities tests_WV: HDCP: 2.1 required,"Launch Exoplayer application from Dut Android.
Go to ""Widevine HDCP Capabalities Tests"" tab and play ""WV: HDCP: 2.1 required""
playback with HDMI port settings set to HDCP 1.4.


Launch again the same stream but with HDMI port settings set to HDCP 2.2

",,"Exoplayer aplication is well launched.


Stream should played during 10 Sec than a black screen should be observed.


Playback should well played.

"
[ExoPlayer] HDCP Capabilities tests_WV: HDCP: 2.2 required,"Launch Exoplayer application from Dut Android.
  
Go to ""Widevine HDCP Capabalities Tests"" tab and play ""WV: HDCP: 2.2 required""
playback with HDMI port settings set to HDCP 1.4.


Launch again the same stream but with HDMI port settings set to HDCP 2.2

",,"Exoplayer aplication is well launched.


Stream should played during 10 Sec than a black screen should be observed.


Launch again the same stream but with HDMI port settings set to HDCP 2.2  
Playback should well played.

"
"[ExoPlayer] HDCP Widevine DASH Capabilities tests_WV: DASH (WebM,VP9)","Go to Settings/Menu

Launch Exoplayer application from Dut Android.
- Go to ""Widevine DASH : WebM, VP9"" tab 

and 

- Play ""WV: clear SD & HD (WebM,VP9)""
playback.
During playing stream do a pause/play.


During playing stream, do a trick mode by rewind or forward buttons.


Rpeat tests step 2, 3 and 4 for all the rest of each plaback from Widevine DASH: WEBM, VP9",,"Exoplayer aplication is well launched.
Stream should played between SD and HD resolution.


Pause/play works fine.


Trick mode should works fine.


Each playback should well played and trick mode works fine."
"[ExoPlayer] HDCP Widevine DASH Capabilities tests_WV Dash: MP4,H264","GO to Settings/Menu

Launch Exoplayer application from Dut Android.
Go to ""Widevine DASH : MP4,H264"" tab and play ""WV: clear SD & HD (MP4,H264)""
playback.
During playing stream do a pause/play.
During playing stream, do a trick mode by rewind or forward buttons.
Repeat step 2,3 and 4 for the rest of playabck.",,"Exoplayer aplication is well launched.
Stream should played in SD/HD resoltion
Pause/play works fine.
Trick mode should works fine.
Each playback from Widevine Dash : MP4,H264 should well played
Trick mode should works fine"
"[ExoPlayer] SmoothStreaming Capabilities: ""Super speed"" stream","Go to Settings/Menu

Launch Exoplayer application from Dut Android.
Go to ""Smooth Streaming"" tab and play ""super speed"" playback
During playing stream do a pause/play.


During playing stream, do a trick mode by rewind or forward buttons.

",,"Exoplayer aplication is well launched.


Stream should be well  played on the 4K TV
Pause/play works fine.


Trick mode should works fine.  


"
[ExoPlayer] HLS Capabilities: Apple 4*3 basic stream,"Launch Exoplayer application from Dut Android.
Go to ""HLS"" tab and play ""Apple 4*3 basic"" playback.


During playing stream do a pause/play.


During playing stream, do a trick mode by rewind or forward buttons.

",,"Exoplayer aplication is well launched.


Stream should be correctly played on the 4K TV
Pause/play works fine.


Trick mode should works fine.

"
[ExoPlayer] HLS Capabilities:Apple 16*9 basic stream,"Launch Exoplayer application from Dut Android.
Go to ""HLS"" tab and play ""Apple 16*9 basic stream"" playback.


During playing stream do a pause/play.


During playing stream, do a trick mode by rewind or forward buttons.

",,"Exoplayer aplication is well launched.


Stream should be well played, display Ok the 4K TV
Pause/play works fine.


Trick mode should works fine.

"
[ExoPlayer] HLS Capabilities: Apple master playlist advanced (TS),"Launch Exoplayer application from Dut Android.
Go to ""HLS"" tab and play ""Apple master playlist advanced (TS)"" playback.


During playing stream do a pause/play.


During playing stream, do a trick mode by rewind or forward buttons.

",,"Exoplayer aplication is well launched.


Stream should be well played.  
Display Ok the 4K TV
Pause/play works fine.


Trick mode should works fine.

"
[ExoPlayer] HLS Capabilities: Apple master playlist advanced (fMP4),"Launch Exoplayer application from Dut Android.
Go to ""HLS"" tab and play ""Apple master playlist advanced (fMP4)"" playback.


During playing stream do a pause/play.


During playing stream, do a trick mode by rewind or forward buttons.

",,"Exoplayer aplication is well launched.


Stream should be well played.

Display Ok the 4K TV.
Pause/play works fine.


Trick mode should works fine."
[ExoPlayer] HLS Capabilities: Apple TS media playlist,"Launch Exoplayer application from Dut Android.
Go to ""HLS"" tab and play ""Apple TS media playlist "" playback.


During playing stream do a pause/play.


During playing stream, do a trick mode by rewind or forward buttons.

",,"Exoplayer aplication is well launched.  



Stream should be well played.

Display Ok the 4K TV
Pause/play works fine.  



Trick mode should works fine.  


"
[ExoPlayer] HLS Capabilities: Apple AAC media playlist,"Launch Exoplayer application from Dut Android.
Go to ""HLS"" tab and play ""Apple AAC media playlist"" playback.


During playing stream do a pause/play.


During playing stream, do a trick mode by rewind or forward buttons.

",,"Exoplayer aplication is well launched.


Stream should be well  played. 

Display Ok the 4K TV.
Pause/play works fine.


Trick mode should works fine.  


"
"[ExoPlayer]Play content ""Cats ==> Dogs""","Launch Exoplayer application from Dut Android.
Go to ""Playlist"" tab and play ""cat--> Dogs playlis"" playlist AV.

",,"Exoplayer aplication is well launched.


Playlist streams should well played.  

Display Ok the 4K TV."
"[ExoPlayer] Playlist Capabilities: Play ""Audio - video - Audio"" stream","Launch Exoplayer application from Dut Android.
Go to ""Playlist"" tab and play ""Audio - video - Audio"" playlist AV.

",,"Exoplayer aplication is well launched.


Playlist Streams should be well played.

Display Ok the 4K TV."
[ExoPlayer] Playlist Capabilities: Clear - Enc - Clear --> Enc --> Enc,"Launch Exoplayer application from Dut Android.
Go to ""Playlist"" tab and play ""Clear - Enc - Clear --> Enc --> Enc  playlist
AV.",,"Exoplayer aplication is well launched.


Playlist Streams should well played."
[ExoPlayer] Youtube DASH Capabilities tests : Youtube DASH,"Launch Exoplayer application from Dut Android.
Go to ""Youtube DASH"" tab and play Google Glass (MP4?H264)"" playback.
During playing stream do a pause/play.
During playing stream, do a trick mode by rewind or forward buttons.
Repeat step 2,3 and 4 for the rest of playabck.",,"Exoplayer aplication is well launched.
Playback should be well played
Pause/play works fine.
Trick mode should works fine.
Each playback from Widevine Dash : MP4,H264 should well played
Trick mode should works fine"
[ExoPlayer] Widevine DASH Policy Tests (GTS) Capabilities tests,"Launch Exoplayer application from Dut Android.
Go to ""Widevine DASH Policy Tests"" tab and play WV: HDCP not specified"" playback.
During playing stream do a pause/play.
During playing stream, do a trick mode by rewind or forward buttons.
Repeat step 2,3 and 4 for the rest of playabck.",,"Exoplayer aplication is well launched.
Playback should well played
Trick mode should works fine.
Trick mode should works fine.
Each playback from Widevine Dash : MP4,H264 should well played
Trick mode should works fine
P.S: for last stream WV: 30 S Licence durantion (fail ""à S): le playback shloud be failed after 30 Second"
[ExoPlayer] Misc Capabilities tests: Dizzy (MP4) playback,"Launch Exoplayer application from Dut Android.
Go to tab Misc and play Dizzy (MP3) stream
During playing stream do a pause/play.
During playing stream, do a trick mode by rewind or forward buttons.",,"Exoplayer aplication is well launched.
Playback should well played.
Trick mode should works fine.
Trick mode should works fine."
[ExoPlayer] Misc Capabilities tests: Apple AAC 10 S playback audio,"Launch Exoplayer application from Dut Android.
Go to tab Misc tab and play the playback Apple TS 10S",,"Exoplayer aplication is well launched.
Playback should be well played during 10 second"
[ExoPlayer] Misc Capabilities tests: Android screens (Matroska),"Launch Exoplayer application from Dut Android.
Go to tab Misc tab and play Android screens (Mtroska) playback
During playing stream do a pause/play.
During playing stream, do a trick mode by rewind or forward buttons.",,"Exoplayer aplication is well launched.
Playback is well played
Trick mode should works fine.
Trick mode should works fine."
"[ExoPlayer] Misc Capabilities tests: Screens 480 P (FMP4,H264,NoAudio)","Launch Exoplayer application from Dut Android.
Go to tab Misc tab and play Screens 480P (FMP4,H264,No audio) playback
During playing stream do a pause/play.
During playing stream, do a trick mode by rewind or forward buttons.",,"Exoplayer aplication is well launched.
Playback should well played
Pause/resume should works fine.
Trick mode should works fine."
"[ExoPlayer] Misc Capabilities tests: Screens 1080 P (FMP4,H264,NoAudio)","Launch Exoplayer application from Dut Android.
Go to tab Misc tab and play Screens 1080P (FMP4,H264,No audio) playback
During playing stream do a pause/play.
uring playing stream, do a trick mode by rewind or forward buttons.",,"Exoplayer aplication is well launched.
Playback should well played
Pause/resume should works fine.
Trick mode should works fine."
"[ExoPlayer] Misc Capabilities tests: Screens (FMP4,AAC Audio)","Launch Exoplayer application from Dut Android.
Go to tab Misc tab and play Screens (FMP4,AAC audio) playback audio",,"Exoplayer aplication is well launched.
Playback audio is well heread with black scree."
[ExoPlayer] Misc Capabilities tests: Google Play (MP3 Audio),"Launch Exoplayer application from Dut Android.
Go to tab Misc tab and play Google Play (MP3 Audio)",,"Exoplayer aplication is well launched.
Playback is well played."
[ExoPlayer] Misc Capabilities tests: Google Play (Ogg/Vorbis Audio),"Launch Exoplayer application from Dut Android.
Go to tab Misc tab and play Google Play (Ogg/Vorbis Audio) playback audio.",,"Exoplayer aplication is well launched.
Playback audio should well heread with black screen"
[ExoPlayer] IMA sample ad tags Capabilities tests,"Launch Exoplayer application from Dut Android.
Go to IMA sample ad tags tag and tab and play ""single inline linear"" playback.
Rpeat tests step 2, 3 and 4 for all the rest of each plaback from Iam sample ad tags",,"Exoplayer aplication is well launched.
Playback should well played
Each playback should well played."
[ExoPlayer] 360 Capabilities tests,"Launch Exoplayer application from Dut Android.
Go to 360 tab and play ""Congo 360-top-bottom stereo"" playback.
Rpeat tests step 2 for all the rest of each plaback from 360 tab",,"Exoplayer aplication is well launched.
Playback should be well played
Each playback should well played."
First Install_RCU Automatic pairing after a reset factory,"Do a reset factory on the DUT
Start Install the DUT",,"The DUT automatically reboots in first install
Check RCU is automatically paired in Bluetooth, and pairing connexion screen is not displayed during First Install"
First Install_Manual RCU pairing after an FTI,"When RCU is not paired automatically in Bluetooth during First install
Follow instructions displayed on screen and check the pairing process starts

",,"Check a manual remote pairing screen is displayed
RCU is correctly paired, a success message is displayed.

This screen will also present the option to continue the FTU process (continue
button)

"
First Install_RCU Manual pairing skip,"When RCU is not paired automatically in Bluetooth during First install


Wait for 1 minute on Pairing Page (Skip pairing could be displayed immediately without waiting)
Select option to continue without pairing

",,"Check a remote pairing screen is displayed


A message is displayed, indicating instructions to Retry the pairing , and an option to Continue to next step of FTU (option to ""Pair Later"" the RCU)
Next FTU step is displayed

"
First Install_RCU Automatic pairing with reboot before starting FTI,"Factory reset DUT (device under test) from Menu Settings
When DUT  starts, press RCU butons and try to pair it
Make electrical reboot of DUT before starting FTI steps ( in language choice screen for example)
Continue all steps of FTI",,"FTI starts correctly
RCU is paired correctly
DUT starts correctly after e-reboot
check that {color:#00875A}*RCU pairing screen is not displayed*{color}"
First Install_Reset Factory_FTI check after Reset Factory with Long Press and DUT ON,"DUT is ON.

Press on the button Reset of the DUT (in the back of the box): Time of press should be around *13 seconds*
Follow the FTI steps using WiFi/Ethernet",,"If RCU is connected: the reset factory of RCU is performed firstly (RCU LED flashes).

Then, reset factory of the DUT is launched, DUT restarts in first install.
DUT is restarted and all steps of FTI are displayed correctly via Wifi/Ethernet

DUT will be reset and the data will be lost, remaining in the same version of FW and with the default Launcher"
First Install_Reset Factory_Check DUT's Behaviour when resetting it with Long Press and DUT initially  OFF,"Your DUT is in standby

Long Press on the button Reset in the back of the DUT: Time of press should be around *13 sc*",,"Noting is done, reset factory is not done."
First Install_Reset Factory__FTI Check after Reset factory from settings menu ,"DUT is connected Via ETH

Go to settings menu/About/Factory reset

Select reset factory
DUT is connected Via Wifi

Go to settings menu/About/Factory reset

Select reset factory",,"DUT is restarted and all steps of FTI are displayed correctly via ETH 

DUT will be reset and the data will be lost, remaining in the same version of FW and with the default Launcher
2. If there are updates (FW or Launcher), they will be installed during the process
3. Channels are displayed correctly
4. The contents are displayed correctly
5. The app opens successfully

6. Default parameters are expected (TBD)
DUT is restarted and all steps of FTI are displayed correctly via Wifi 

DUT will be reset and the data will be lost, remaining in the same version of FW and with the default Launcher
2. If there are updates (FW or Launcher), they will be installed during the process
3. Channels are displayed correctly
4. The contents are displayed correctly
5. The app opens successfully

6. Default parameters are expected (TBD)

P.S: Device should be re-connected via Wifi during FTI"
First Install_FTI with Product language,"Perform a factory reset 
Select native product language
Verify that all settings & submenus are well displayed with product language",,"First install with product language is well performed (All steps are done, language used is as selected)
All settings & submenus are well displayed with product language"
First Install_Enter Standby Mode during FTI,"1. Factory reset DUT or start an installation from 0
2. Go through the First Install until you reach the ""Choose your Time Zone"" point
3. Sending DUT to Standby
4. Wait 30s and wake up the DUT
5. Pass the First Install until you reach the ""Recommendations"" point
6. Sending DUT to Standby
7. Wait 30s and wake up the DUT
8. Go through the First Install until you reach the point of ""Enter Google Account""
9. Sending DUT to Standby
10. Wait 30s and wake up the DUT",,"1-DUT starts at the First Install right from the start
2. The screen is displayed correctly
3. DUT goes to Standby and no image is displayed
4. DUT returns from Standby to the same point as the First Install and the display is displayed correctly
5. The screen is displayed correctly
6. The DUT goes to Standby and no image is displayed
7. The DUT returns from Standby to the same point as the First Install and the display is displayed correctly
8. The screen is displayed correctly
9. DUT goes to Standby and no image is displayed
10. DUT returns from Standby to the same point as the First Install and the display is displayed correctly"
First Install_Check FTI is well resumed after Electrical reboot during first Install,"1-Factory reset the STB or start an installation from 0
2. Go through the First Install
3-Reboot DUT when reaching language Choice screen",,"1-First Install is launched,
2-Recommanded steps are Ok
3-DUT is rebooted and First Install re-launched from the begining"
"First Install_Skip ""Google Sign In"" and GVA activation everywhere during FTI","Perform First Install,
When the screen asking the user to sign up is displayed , Press Skip button
Continue next FTI google steps without Sign In for different steps(if requested elsewhere)

When  the screen of Google Assistant config is displayed , select  ""Skip""
Check that Assisatant doesn't  :Ask question with ""*OK Google*"" or user RCU micro buton",,"FTI steps are started (screens will follow smoothly  , each time with an action and or info will be displayed )

Skip button pressed 

Google Sign In screen is no more displayed

The user could continue the First Install (without logging in with google account)
FTI steps are performed correctly until starting DUT 


P.S , please check that no  ""Sign In""  performed with google account(i.e non goole account is saved)
A  Screen will be displayed asking the user to activate Voice Assistant"
First Install _Skip Google Sign In during FTI with only activate google assistant,"Perform First Install,
When the screen asking the user to sign in is displayed , Press Skip button
During the FTI, when  the screen of Google Assistant config is displayed , select  ""Use Assistant without Sign in""
Finalize FTI steps

Check that Assisatant works fine  :Ask question with ""OK Google"" or user RCU micro buton",,"FTI steps are started (screens will follow smoothly  , each time with an action and or info will be displayed )

Skip button pressed 

Google Sign In screen is no more displayed

The user could continue the First Install (without logging in with google account)
FTI steps must be performed correctly until  reaching  Google Assisant sceen 

""Use Assistant without Sign IN ""must be selected
FTI is well performed 

 Assisatant is well working : An answer for the asked question is given"
First Install_FTI with Google Account ,"During First Install, a screen should be displayed asking the user to Sign In with his Google account or to skip Sign In

Choose Sign In and add available / Valid Google account
Continue FTI google steps with activation of Google assistant
Ask  Google assistant ""What's the weather""",,"Google account added correctly and FTI steps continue without asking to Sign In again
FTI steps are performed correctly until starting DUT
Google assistant responds correctly to voice commands

P.S: GVA language will be the language of the used Google Account"
First Install_ Check Full FTI process (screens  defined by Google and additionnel ones aded by customer if applicable)),"During First Install, Launcher steps are displayed",,"Launcher FTI steps should be correctly performed

{color:#DE350B}Specific ""Customer screens "" should be checked {color}  besides screens as defined by Google"
First Install_Default parameters after first install,"Perform an FTI from settings menu
Check default parameters after FTI",,"FTI from settings menu is well performed, AV are well played
Default parameters are expected :
les paramètres  par défaut après fti ( pas de spec client pour le moment )

hdm-cec enable

resolution=auto

pref =on (depuis la version 12.6.1) 

hdr nehavior=alwaus HDR

Screen saver =15 min

energy saver when inactive 24h

energy saver when watching 4h"
General Features_Volume control,"Go to Device Preferences >> Display & Sound >> Audio processing >> enable Output to HDMI  

Press V+, V- and mute when live is diplayed
Press V + V- and mute on any app
Go to Device Preferences >> Display & Sound >> Audio processing >> disable Output to HDMI  (Audio output == speaker) 

Press V + V- and mute when live is diplayed
Press V + V- and mute on any app",,"Verify volume control works correctely from HDMI including mute.
Audio is increased when V+ is pressed
Audio is decreased hen V- is pressed
Audio is not heared when mute is pressed
Verify volume control works as expected

Audio is increased when V+ is pressed
Audio is decreased hen V- is pressed
Audio is not heared when mute is pressed
Verify volume control works as expected

Audio is increased when V+ is pressed
Audio is decreased hen V- is pressed
Audio is not heared when mute is pressed
Verify volume control works as expected

Audio is increased when V+ is pressed
Audio is decreased hen V- is pressed
Audio is not heared when mute is pressed"
General Features_Check Volume bar ,"On all pages (Live, EPG, applications, ...), display the volume bar by pressing V+ / V- or mute",,Check the volume-bar is well displayed on all pages.
General Features_Volume bar  Status when pressing volume Buttons and time-out check ,"Press on RC_VOL+
Press on RC_VOL-
Repeat steps 1 and 2 several times


Decrease the volume until the volume is Muted


Press on RC_VOL+",,"Volume bar is displayed and increase progressively
After 2 seconds without any volume Key press, there is a timeout and the volume bar disappear.
Volume bar is displayed and decrease progressively
After 2 seconds without any volume Key press, there is a timeout and the volume bar disappear.
-
The Mute icon shall be:
 * Automatically dismissed after *3* *seconds* from the last interaction with volume; or
 * Replaced by the Volume Bar in case user increase the Volume while the mute icon is displayed.
The volume bar is displayed 
After 2 seconds without any volume Key press, there is a timeout and the volume bar disappear."
General Features_Volume Management ,"Decrease the volume until the volume is muted
Increase the volume for some steps


Press on Mute button on RCU
Increase the volume


Press on Mute button on RCU
Decrease the volume


Press on Mute button on RCU


Press on Mute button on RCU


Decrease the volume until the volume is muted


Press on Mute button on RCU

",,"Volume bar is displayed and Audio is muted.

Mute icon is displayed
Audio is heard, volume bar is diplayed at the correct volume


Volume is muted  
Mute icon is displayed


Volume-bar is displayed. 
Audio is heard and the volume is increased of 1 step compared to the volume before mute.
Volume is muted  
Mute icon is displayed
Volume-bar is displayed  
Audio is heard and the volume is decreased of 1 step compared to the volume
before mute.
Volume is muted.  
Mute icon is displayed


Audio is heard, at the same level than previously.  
Volume-bar is displayed


Volume is muted

Mute icon is displayed


Volume-bar is displayed and mute icon is displayed 

For some products (VF) : Audio is heard at minimum level available (level 1) and Volume-bar is displayed."
General Features_Volume Management after Standby and Reboot,"Increase the volume and note the volume level
Power OFF the DUT
Power ON the DUT
Electrically reboot the DUT
Mute the volume
Power OFF the DUT
Power ON the DUT
For specific products, that are not unmuted after power off/power on , Press on Mute button on the RCU to unmute the volume
Mute the volume
Electrically reboot the DUT
Press on RC_VOL+ on RCU

",,"Audio is heard and volume level is incremented
No audio is heard
Audio is heard at the same volume level of step 1
Audio is heard at the same volume level of step 1

 

{*}For some products{*}: after electrical reboot volume level is back to default value (value after FTU)
No audio is heard and the Mute icon is displayed
No audio is heard
VSB is unmuted, volume is automatically set at the first level

*For some products (exp : VF projects) :* volume  is unmuted and automatically set at the last saved level
Audio is heard and volume is set at the last saved level
No audio is heard
DUT is unmuted, volume is automatically set at the last saved level
Volume is increased. Level is 1 step higher than previously

"
General Features_Mute Management with Unplug/plug HDMI,"When DUT is on live TV, press Mute buton
Unplug then plug HDMI Cable
Repeat the same test with both audio output: Speaker and HDMI",,"Audio is muted correctly and mute icon displayed on TV screen
Check that audio is unmuted and mute icon is disappeared
Check that audio is unmuted after unlug/plug HDMI cable"
General Features_Launcher_Keyboard content,"Press on Home buton then press on search


# Activate uppercase by pressing the arrow (third line on the left).
 # Check that special characters are available and can be selected by pressing the *“?123” icon*
Type any word then delete it",,"Keyboard should appear to make search with:
 - Alphanumeric: all characters, uppercase, special characters, focus by default on ""q""
 - Numeric: only digits, focus by default on ""1"".
# Check that all letters are in uppercase
 # Special characters are available, starting with the “@” character and can be selected.
Insert and delete must be performed as expected (The delete character is the one at the left of the cursor)."
General Features_Launcher_Keyboard closing,"Press on Home buton then press on search


Press on back button",,"Keyboard should appear to make search
Keyboard should be closed

"
General Features_Launcher Keyboard search,"Select Keyboard search in launcher

PS: If launcher has a keyboard search affordance, it'll be the search icon displayed in the top of launcher screen
Navigate on keyboard  (press {*}RC_Down{*}/ {*}RC_UP{*}/{*}RC_left{*}/{*}RC_right{*})
Using lancher Keyboard, try to search for différent content(Tvapp , Netflix, youtube content ..)",,"Keyboard Search UI is  available and can be used.
Horizontal and Vertical scrolling should be smooth. (The scroll is done on echaracter at a time)
Available Tvapp , Netflix, youtube contents are well displayed and played"
Google Meet_Volume Management,"Check sound level between video call and the other apps
Using RCU, change the volume V+/V-
Check the Max level volume = xx

Check the min level volum = xx
Press on Mute button
Press again on Mute button
Say ""OK Google"" ... ""Increase volume""
Say ""OK Google"" ... ""Mute""
Say ""OK Google"" ... ""Decrease volume""",,"The sound level is the same
Volume is well managed during call
Volume is well managed to max/min level
No audio is heard
DUT is unmuted and audio is OK
DUT answers correctly and volume is well increased
DUT answers correctly and no audio is heard
DUT answers correctly and is unmuted,  volume is well decreased"
Google Meet_Call from anywhere,"Ask ""OK Google"".. ""call xxxxx xxxxx""

Pickup from the distant device
End the call from the distant device
Play a content on Apps (YT , NTFX...)

Ask ""OK Google"".. ""call xxxxx xxxxx""

Pickup from the distant device
End the call from DUT
Play a Live content

Ask ""OK Google"".. ""call xxxxx xxxxx""

Pickup from the distant device
End the call from the distant device
Open GMeet App, select a contact from History and intiate a call (Video and Audio)

Pickup from the distant device
End the call from DUT
Open GMeet App, select a contact from Contact List and intiate a call (Video and Audio)

Pickup from the distant device
End the call from the distant device",,"DUT Turns on and the outgoing call is well launched

A/V OK (after pickup)
Call is ended, no problem, no crash
Gmeet app is opened, and the outgoing call is well launched

The call screen is displayed and call ring is heard

A/V OK and synchro (after pickup): No mix with the previous app audio, no echo, no delay, redundancy, no glitch
Call is ended, no problem, no crash
Gmeet app is opened, and the outgoing call is well launched

The call screen is displayed and call ring is heard

A/V OK and synchro (after pickup): No mix with the previous app audio, no echo, no delay, redundancy, no glitch
Call is ended, no problem, no crash

The live is relaunched
Outgoing call is well launched

A/V OK
Call is ended, no problem, no crash
Outgoing call is well launched

A/V OK
Call is ended, no problem, no crash"
Google Meet_Call from/to Device,"From a second Device (Phone, Tablet,..), launch a Video call on your DUT
Reject the call
From the DUT, launch a Video call on another device (Phone, Tablet,..)
Pick up
End the call
From the DUT, launch an audio call on another device (Phone, Tablet,..)
Pick up",,"A notification of incoming call is displayed (popup + call ring)
The previous App stills running (Live, launcher or another App), no problem, no crash
Outgoing call call is well launched on DUT

An incoming call is well received on the distant device
Audio / Video are ok and synchro:
 - Good video quality ==> HD ( no  720 no  SD )

 - Background/External Noise are smooth with no issues heard: Echo, redundancy (the said phrase is heard twice) or other..
Call is ended, no problem, no crash
Outgoing call call is well launched on DUT

An incoming call is well received on the distant device
No video call displayed

Audio is ok and synchro: Background/External Noise are smooth with no issues heard : Echo, redundancy (the said phrase is heard twice) or other.."
Google Meet_Call from/to VSB ,"From a second DUT, launch a Video call on the first DUT
Reject the call
From the first VSB, launch a Video call on second DUT
Pick up
End the call
From the first VSB, launch an Audio call on second DUT
Pick up",,"A notification of incoming call is displayed (popup + call ring)
On the first DUT: The previous App stills running (Live, launcher or another App), no problem, no crash

On the second DUT: Call is aborted, GMeet home menu is displayed
A notification of incoming call is displayed (popup + call ring) on the second DUT
Incoming call is well launched

Audio / Video are ok and synchro:
 - Good video quality ==> HD ( no  720 no  SD )

 - Background/External Noise are smooth with no issues heard : Echo, redundancy (the said phrase is heard twice) or other..
Call is ended, no problem, no crash
The call is well launched
No video call displayed

Audio is ok and synchro: Background/External Noise are smooth with no issues heard : Echo, redundancy (the said phrase is heard twice) or other.."
Google Meet_Mic ON/OFF,"Switch Mic to OFF from DUT hard button
Switch Mic to ON from DUT hard button
Switch Mic to OFF from GMeet interface on the screen
Switch Mic to ON from GMeet interface on the screen
Turn Off Second device 's mic
Turn On Second device 's mic",,"Micro turned off correctly

Mic logo in GMeet screen is turned off

Audio from DUT side isn't heared on the called device
Micro turned on well without no issue on audio or either on video

Mic logo in GMeet screen is turned on

Audio from DUT side is heared on the called device without problem (no cuts, no echo,..)
Micro turned off correctly

Mic logo in GMeet screen is turned off

Audio from DUT side isn't heared on the called device
Micro turned on well without no issue on audio or either on video

Mic logo in GMeet screen is turned on

Audio from DUT side is heared on the called device without problem (no cuts, no echo,..)
No voice is heared on DUT

Video is OK
Audio is heared correctly on DUT (no cuts, no echo, no glitch,..)

Video is OK"
Google Meet_Unplug/Plug Camera,"Unplug the camera
Plug the camera",,"Call still in progress but  without video

Audio is OK, No crash , no hung up
Call still in progress 

Camera is connected, video is well displayed without any problem

Audio is OK, No crash , no hung up"
Google Meet_Power management during call,"Switch DUT to standby mode
Switch to active mode, then initiate a new GMeet Call
Reboot DUT
After reboot, initiate a new GMeet Call",,"DUT turns to standby mode

Video call  hungs up
Video Call is well launched

No problem: A/V OK, no crash
DUT reboots

Video call hungs up (No A/V)
Video Call is well launched

No problem: A/V OK, no crash"
